Country Code,Country,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F
"114","Kenya","1062","Eggs, hen, in shell","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,"984.857359","","957.742853","","1104.367143","","789.975631","","875.175942","","1414.288295","","1410.948742","","1463.227323","","1404.052840","","1633.668076","","1772.788180","","2108.114780","","2551.271914","","2049.372656","","2245.226067","","2010.597150","","2153.336488","","2113.624554","",,
"114","Kenya","406","Garlic","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136042.610000","",,,,,,
"114","Kenya","406","Garlic","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136042.610000","",,,,,,
"114","Kenya","406","Garlic","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1538.595454","",,,,,,
"114","Kenya","720","Ginger","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55000.000000","",,,,,,
"114","Kenya","720","Ginger","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55000.000000","",,,,,,
"114","Kenya","720","Ginger","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"622.031215","",,,,,,
"114","Kenya","242","Groundnuts, with shell","5530","Producer Price (LCU/tonne)","LCU","10000.000000","","15000.000000","","14231.930000","F","14007.780000","F","14327.550000","F","15191.240000","F","16598.850000","F","18550.380000","F","21045.830000","F","24085.200000","F","27668.480000","F","31795.680000","F","36466.800000","F","41681.840000","F","47440.800000","F","53743.680000","F","60590.480000","F","65364.000000","","72868.000000","","77724.000000","","94678.000000","","98990.000000","","104136.000000","",,
"114","Kenya","242","Groundnuts, with shell","5531","Producer Price (SLC/tonne)","SLC","10000.000000","","15000.000000","","14231.930000","F","14007.780000","F","14327.550000","F","15191.240000","F","16598.850000","F","18550.380000","F","21045.830000","F","24085.200000","F","27668.480000","F","31795.680000","F","36466.800000","F","41681.840000","F","47440.800000","F","53743.680000","F","60590.480000","F","65364.000000","","72868.000000","","77724.000000","","94678.000000","","98990.000000","","104136.000000","",,
"114","Kenya","242","Groundnuts, with shell","5532","Producer Price (USD/tonne)","USD","363.532327","","465.595012","","245.372434","F","249.913203","F","278.584432","F","265.976969","F","282.620977","F","307.294916","F","299.260077","F","316.180233","F","352.181219","F","403.759076","F","480.233444","F","526.712079","F","628.120404","F","745.556534","F","900.705058","F","944.903745","","942.543009","","981.611518","","1070.775843","","1171.202082","","1209.364871","",,
"114","Kenya","1182","Honey, natural","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150000.000000","","160000.000000","","165000.000000","","180000.000000","","190000.000000","","190000.000000","","190000.000000","","220000.000000","",,
"114","Kenya","1182","Honey, natural","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150000.000000","","160000.000000","","165000.000000","","180000.000000","","190000.000000","","190000.000000","","190000.000000","","220000.000000","",,
"114","Kenya","1182","Honey, natural","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2080.867558","","2378.472811","","2385.244444","","2328.288708","","2399.595858","","2148.835105","","2247.988642","","2554.930780","",,
"114","Kenya","407","Leeks, other alliaceous vegetables","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21504.340000","",,,,,,
"114","Kenya","407","Leeks, other alliaceous vegetables","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21504.340000","",,,,,,
"114","Kenya","407","Leeks, other alliaceous vegetables","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243.206741","",,,,,,
"114","Kenya","497","Lemons and limes","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10621.000000","","10179.000000","","11684.000000","","20558.000000","","16821.000000","","17872.700000","",,
"114","Kenya","497","Lemons and limes","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10621.000000","","10179.000000","","11684.000000","","20558.000000","","16821.000000","","17872.700000","",,
"114","Kenya","497","Lemons and limes","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"153.537462","","131.664726","","147.562516","","232.503958","","199.017984","","207.561415","",,
"114","Kenya","372","Lettuce and chicory","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31588.000000","","40647.000000","","34824.000000","","46377.000000","","70019.000000","","68725.000000","",,
"114","Kenya","372","Lettuce and chicory","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31588.000000","","40647.000000","","34824.000000","","46377.000000","","70019.000000","","68725.000000","",,
