"Country Code","Country","Item Code","Item","Months Code","Months","Unit","Y2000","Y2000F","Y2001","Y2001F","Y2002","Y2002F","Y2003","Y2003F","Y2004","Y2004F","Y2005","Y2005F","Y2006","Y2006F","Y2007","Y2007F","Y2008","Y2008F","Y2009","Y2009F","Y2010","Y2010F","Y2011","Y2011F","Y2012","Y2012F","Y2013","Y2013F","Y2014","Y2014F"
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7011","November","","102.8","","108.8","","120.2","","128.1","","137.8","","153.3","","166.9","","179.6","","206.7","","217.2","","232.6","","254.0","","273.0","","284.2","","296.4",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7012","December","","103.0","","109.0","","120.5","","128.2","","138.2","","154.0","","167.0","","180.6","","205.4","","217.3","","233.4","","254.9","","273.8","","285.1","","295.7",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7013","Year average","","100.0","","106.6","","115.1","","125.8","","134.4","","146.1","","163.0","","174.5","","196.6","","212.5","","227.2","","246.4","","265.0","","280.6","","293.0",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7001","January","","168.0","",,,,,,,,,,,"97.4","","105.3","","111.2","","118.8","","120.2","","124.7","","128.7","","135.0","","133.7",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7002","February","","167.0","",,,,,,,,,,,"100.2","","105.3","","112.6","","121.3","","120.5","","126.6","","128.6","","133.0","","132.7",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7003","March","","163.1","",,,,,,,,,,,"100.8","","105.7","","113.3","","120.5","","120.9","","127.0","","128.5","","131.2","","131.5",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7004","April","","165.6","",,,,,,,,,,,"102.4","","106.7","","115.5","","119.8","","121.5","","128.3","","127.8","","131.4","","129.9",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7005","May","",,,,,,,,,,,,,"102.9","","106.8","","116.5","","120.4","","121.4","","128.0","","130.6","","131.4","","130.5",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7006","June","",,,,,,,,,,,,,"104.1","","107.8","","118.3","","119.8","","121.8","","129.9","","131.9","","132.8","","130.7",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7007","July","",,,,,,,,,,,,,"104.1","","108.7","","120.1","","120.4","","121.6","","129.7","","133.8","","133.5","","131.1",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7008","August","",,,,,,,,,,,"99.4","","104.1","","109.7","","121.0","","120.5","","125.1","","131.0","","134.2","","134.6","","131.0",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7009","September","",,,,,,,,,,,"100.3","","104.9","","109.0","","121.8","","120.7","","125.8","","133.0","","136.2","","135.3","","131.4",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7010","October","",,,,,,,,,,,"98.3","","103.6","","108.6","","123.6","","119.0","","124.4","","130.9","","136.4","","134.2","","131.7",""
