"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","All Donors, Total","","Flow Type(s):","Net Disbursements","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Recipient(s)",
"Bhutan","","..","..","..","0.01","0.01","0.16","0.05","0.01","0.14","0.1","0.21","0.14","0.19","0.52","0.61","2.1","3.22","2.9","3.12","4.96","8.06","9.65","11.25","12.92","17.24","23.39","38.93","40.46","40.65","40.57","46","61.41","54.16","63.15","73.1","71.22","57.42","65.58","55.78","66.82","53.09","60.48","73.58","77.34","77.97","90.05","101.54","89.83","86.53","125.38","130.49","142.62","161.28","134.34","129.77"
"Bolivia","","12.08","23.63","35.91","53.5","40.92","33.96","30.05","28.78","47.44","37.08","32.64","33.58","51.74","30.93","61.7","55.79","65","92.66","145.14","156.16","169.46","169.08","148.12","173.46","168.42","196.38","333.77","308.24","419.36","496.23","545.44","502.89","666.93","558.99","561.28","711.46","827.5","697.75","633.05","578.55","481.71","743.72","689.33","938.41","785.44","643.06","849.97","475.81","627.87","725.25","715.19","721.58","658.4","700","671.84"
"Bosnia and Herzegovina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","0.01","15.69","70.24","408.57","965.8","851.81","862.05","914.97","1286.24","737.93","640.08","555.78","541.92","686.22","548.52","534.98","599.49","467.02","414.32","508.16","626.51","570.87","522.19","631.96"
"Botswana","","3.43","5.46","5.24","5.33","8.87","10.3","17.88","18.26","16.74","13.36","14.2","17.65","31.41","36.07","36.45","50.94","47.38","47.25","68.77","99.41","105.27","96.47","101.14","103.12","101.93","95.62","100.66","154.84","149.8","157.94","145.22","131.07","111.26","129.9","85.18","89.54","74.45","121.5","106.25","60.89","30.62","29.17","37.19","27.85","50.18","47.98","68.81","107.67","720.26","279.16","153.47","118.49","72.88","107.32","99.64"
"Brazil","","24.11","266.57","166.56","197.24","249","236.07","346.38","235.32","264.67","191.84","188.13","157.55","147.2","113.21","167.48","166.18","111.95","78.8","112.78","106.57","85.35","234.73","207.54","100.52","160.28","122.38","178.03","288.15","208.95","202","151.06","161.56","-257.79","199.83","251.34","271.31","270.08","259.86","282.22","123.1","231.37","219.53","207.73","198.28","154.38","243.07","113.43","321.2","460.36","336.93","449.64","812.19","1280.87","1144.65","911.56"
"British Virgin Islands","","0.08","0.42","0.39","0.16","0.2","..","0.42","16.15","..","..","..","..","..","..","1.68","2.42","2.59","2.05","1.17","1.72","4.61","3.82","3.8","3.09","1.84","2.04","1.43","2.1","1.95","5.77","5.57","6.02","5.44","3.31","10.98","1.43","1.21","1.87","1.17","2.56","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Brunei Darussalam","","0.01","0.48","0.73","0.04","0.07","0.08","0.08","0.07","0.03","0.03","0.01","0.05","0.02","0.12","0.15","0.14","0.11","0.08","0.1","0.09","0.03","0.19","0.27","0.44","0.81","1.4","2.54","3.24","4.52","4.56","3.88","3.62","5.37","5.07","5.26","4.29","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Burkina Faso","","0.2","1.35","4.43","4.14","15.4","17.27","16.86","19.62","22.81","24","21.99","28.79","34.32","56.9","96.32","88.5","79.87","109.07","156.88","196.16","209.96","214.83","210.19","181.14","182.98","188.49","268.91","268.18","286.78","265.28","326.53","419.65","433.38","468.49","432.6","489.95","418.74","368.46","399.96","398.6","179.78","405.94","439.76","540.95","642.56","693.37","901.48","950.4","1001.16","1082.01","1044.28","981.94","1142.39","1043.72","1119.91"
"Burundi","","7.53","7.19","11.07","6.16","8.09","4.86","8.93","10.41","12.97","14.93","17.67","21.68","25.76","26.86","37.35","47.47","43.8","47.64","73.91","94.34","115.95","120.65","125.4","137.61","137.67","137.16","191.31","196.62","200.5","206.24","262.55","256.4","309.28","216.95","311.11","286.95","110.52","56.4","68.75","74.92","93.12","139.14","171.99","227.76","364.04","363.96","430.89","479","522.24","561.37","629.44","570.44","521.31","556","501.75"
"Cabo Verde","","..","2.72","..","..","..","..","2.41","0.71","..","0.01","..","..","..","..","..","8.65","23.97","26.06","35.06","32.48","61.84","48.69","51.39","56.19","60.6","64.31","104.08","84.46","82.39","82.98","105.28","102","116.48","114.96","119.67","115.73","116.46","110.83","129.59","135.62","93.71","77.2","91.52","147.22","143","162.22","138.46","165.17","221.78","195.6","327.5","251.62","245.54","244.71","230.02"
